"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805";1;"10n";;;
2;"C3,C8";"C_0805";2;"330n";;;
3;"C4,C11,C12,C9,C10,C13,C18";"C_0805";7;"0.1u";;;
4;"R1,R2,R9,R10";"R_0805";4;"12k";;;
5;"R3,R13";"R_0805";2;"100";;;
6;"R4,R6,R12,R14,R19";"R_0805";5;"10k";;;
7;"R5,R11";"R_0805";2;"330k";;;
8;"R7,R17,R20";"R_0805";3;"2.2k";;;
9;"R8,R21,R24,R25";"R_0805";4;"100k";;;
10;"U1,U6";"MSOP-8_3x3mm_Pitch0.65mm";2;"INA333";;;
11;"U2,U3,U7,U8,U9";"MSOP-8_3x3mm_Pitch0.65mm";5;"OPA2335";;;
12;"U4";"MSOP-8_3x3mm_Pitch0.65mm";1;"REF5050";;;
13;"P7";"Pin_Header_Straight_1x01";1;"Shield";;;
14;"C5";"C_Radial_D5_L11_P2";1;"1u";;;
15;"C6";"C_Radial_D5_L11_P2";1;"22u";;;
16;"U5";"SOT-23_Handsoldering";1;"REF3112";;;
17;"P1";"USB_Mini-B";1;"USB_OTG";;;
18;"C2,C7";"C_0805";2;"1u";;;
19;"C14";"C_0805";1;"0.47u";;;
20;"R15,R16";"R_0805";2;"4.7k";;;
21;"C15";"C_Radial_D5_L11_P2";1;"4.7u";;;
22;"C16,C17";"C_0805";2;"470n";;;
23;"P2,P3";"Pin_Header_Angled_1x04";2;"CONN_01X04";;;
24;"R18";"R_0805";1;"1.1k";;;
25;"R22,R23";"R_0805";2;"3.3k";;;
26;"JP2,JP1";"jumper_smd";2;"Jumper";;;
